Departure_Date,Group_Number,Pre-order_Date,Sex,Age,Region,Pre-order_Count,Has_NaN_Sex,Has_NaN_Age,Has_NaN_Residence,Is_Female,Is_30s,Is_China,quantity,sales,engaged,Sales_in_real,Quantity_in_real,Diff_Dep_Pre
2024-06-08,2,2024-06-07,Male,30s,Other,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1
2024-06-08,1,2024-06-06,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,26610.0,3.0,2
2024-06-08,2,2024-06-05,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,12010.0,6.0,3
2024-06-08,3,2024-06-07,Female,20s,China,1.0,0,0,0,1,0,1,0.0,0.0,0.0,22775.0,16.0,1
2024-06-08,2,2024-06-02,Female,30s,Taiwan,1.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,6
2024-06-08,2,2024-06-06,Female,30s,China,9.0,0,0,0,1,1,1,0.0,0.0,0.0,25000.0,2.0,2
2024-06-08,1,2024-06-06,Male,30s,China,10.0,0,0,0,0,1,1,0.0,0.0,0.0,44980.0,10.0,2
2024-06-08,2,2024-06-07,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1
2024-06-08,3,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,21219.0,24.0,2
2024-06-08,2,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,36995.0,23.0,4
2024-06-08,1,2024-05-14,Female,30s,Taiwan,5.0,0,0,0,1,1,0,0.0,0.0,0.0,1019.0,1.0,25
2024-06-08,1,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,48302.0,16.0,2
2024-06-08,1,2024-06-07,Male,20s,China,16.0,0,0,0,0,0,1,0.0,0.0,0.0,6600.0,10.0,1
2024-06-08,3,2024-05-26,Female,50s,Japan,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,13
2024-06-08,1,2024-06-06,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,18318.0,14.0,2
2024-06-08,2,2024-05-20,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,28000.0,15.0,19
2024-06-08,1,2024-05-26,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,13
2024-06-08,3,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,19100.0,1.0,6
2024-06-08,3,2024-06-06,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-08,3,2024-06-06,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-08,2,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,4100.0,6.0,5
2024-06-08,1,2024-06-04,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,2600.0,1.0,4
2024-06-08,1,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,4250.0,5.0,4
2024-06-08,1,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,17785.0,5.0,4
2024-06-08,3,2024-06-05,,,,10.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-08,3,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,18700.0,2.0,2
2024-06-08,2,2024-06-05,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-08,2,2024-06-06,,,,8.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-08,1,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,41000.0,2.0,2
2024-06-08,2,2024-06-06,Female,30s,China,5.0,0,0,0,1,1,1,0.0,0.0,0.0,3200.0,4.0,2
2024-06-09,1,2024-06-05,Male,50s,Japan,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-09,1,2024-05-16,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,24
2024-06-09,2,2024-06-07,Female,30s,China,3.0,0,0,0,1,1,1,0.0,0.0,0.0,38038.0,4.0,2
2024-06-09,3,2024-06-05,Female,30s,Japan,4.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-09,1,2024-06-08,Female,40s,China,2.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1
2024-06-09,2,2024-06-08,Male,30s,China,1.0,0,0,0,0,1,1,0.0,0.0,0.0,248440.0,55.0,1
2024-06-09,2,2024-06-01,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8
2024-06-09,2,2024-06-06,,,,30.0,1,1,1,0,0,0,0.0,0.0,0.0,378560.0,91.0,3
2024-06-09,1,2024-06-07,,,,4.0,1,1,1,0,0,0,0.0,0.0,0.0,8300.0,2.0,2
2024-06-09,1,2024-06-07,,,,15.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-09,1,2024-06-02,Female,30s,Taiwan,1.0,0,0,0,1,1,0,0.0,0.0,0.0,800.0,1.0,7
2024-06-09,1,2024-06-03,Male,20s,Japan,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
2024-06-09,3,2024-06-04,Male,30s,China,1.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,5
2024-06-09,3,2024-06-07,Female,20s,China,30.0,0,0,0,1,0,1,0.0,0.0,0.0,215400.0,51.0,2
